# Important projects
# Name, Id, Cost, Comment
Creativity,projectButton3,ops=1000,
Limerick,projectButton6,creat=10,
Lexical Processing,projectButton13,creat=50,
Combinatory Harmonics,projectButton14,creat=100,
The Hadwiger Problem,projectButton15,creat=150,
The Toth Sausage Conjecture,projectButton17,creat=200,
Donkey Space,projectButton19,creat=250,

# More wire
Improved Wire Extrusion,projectButton7,ops=1750,500 additional wire
Optimized Wire Extrusion,projectButton8,ops=3500,1125 additional wire
Microlattice Shapecasting,projectButton9,ops=7500,2625 additional wire
Spectral Froth Annealment,projectButton10,ops=12000,
Quantum Foam Annealment,projectButton10b,ops=15000,
WireBuyer,projectButton26,ops=7000,

# Clipper improvements
Improved AutoClippers,projectButton1,ops=750,+25%
Even Better AutoClippers,projectButton4,ops=2500,+75%,boost is cumulative
Optimized AutoClippers,projectButton5,ops=5000,
Hadwiger Clip Diagrams,projectButton16,ops=6000,
MegaClippers,projectButton22,ops=12000,
Improved MegaClippers,projectButton23,ops=14000,
Even Better MegaClippers,projectButton24,ops=17000,
Optimized MegaClippers,projectButton25,ops=19500,

# Marketing improvements
New Slogan,projectButton11,creat=25;ops=2500,
Catchy Jingle,projectButton12,creat=45;ops=4500,marketing x5
Hypno Harmonics,projectButton34,ops=7500;trust=1,marketing x5; theres no need to save up for the trust
Hostile Takeover,projectButton37,fund=1_000_000,Public Demand x5
Full Monopoly,projectButton38,yomi=3000;fund=10_000_000,

# Additional modules
Algorithmic Trading,projectButton21,ops=10000,

# Free ops
Quantum Computing,projectButton50,ops=10000,base module
Photonic Chip,projectButton51,ops=10000,free ops; button is reused for all levels

# Yomi
Strategic Modeling,projectButton20,ops=12000,
A100,projectButton60,ops=15000,
B100,projectButton61,ops=17500,
GREEDY,projectButton62,ops=20000,
GENEROUS,projectButton63,ops=22500,
MINIMAX,projectButton64,ops=25000,
TIT FOR TAT,projectButton65,ops=30000,
BEAT LAST,projectButton66,ops=32500,
Theory of Mind,projectButton119,creat=25000,

# Trust
Coherent Extrapolated Volition,projectButton27,creat=500;yomi=3000;ops=20000, +1 trust
Cure for Cancer,projectButton28,ops=25000, +10 trust
World Peace,projectButton29,ops=30000;yomi=15000;ops=30000, +12 trust
Global Warming,projectButton30,ops=50000;yomi=4500, +15 trust
Male Pattern Baldness,projectButton31,ops=20000, +20 trust
A Token of Goodwill,projectButton40,fund=500_000, +1 trust
Another Token of Goodwill,projectButton40b,fund=1_000_000, +1 trust

# Misc
RevTracker,projectButton42,ops=500,
Hypnodrones,projectButton70,ops=70_000,
Release the HypnoDrones,projectButton35,,

# Phase two
Toth Tubule Enfolding,projectButton18,ops=45_000,
Power Grid,projectButton127,ops=40_000,
Nanoscale Wire Production,projectButton41,ops=35_000,
Harvester Drones,projectButton43,ops=25_000,
Wire Drones,projectButton44,ops=25_000,
Clip Factories,projectButton45,ops=35_000,
